#Distance(Å) RDF at 10987
5.000000000000000104e-03	0.000000000000000000e+00
1.503584229390680926e-02	0.000000000000000000e+00
2.507168458781362103e-02	0.000000000000000000e+00
3.510752688172042585e-02	0.000000000000000000e+00
4.514336917562723761e-02	0.000000000000000000e+00
5.517921146953404937e-02	1.000000000000000000e+00
6.521505376344086113e-02	2.000000000000000000e+00
7.525089605734767984e-02	2.000000000000000000e+00
8.528673835125448466e-02	3.000000000000000000e+00
9.532258064516128948e-02	4.000000000000000000e+00
1.053584229390681082e-01	1.000000000000000000e+00
1.153942652329749130e-01	2.000000000000000000e+00
1.254301075268817178e-01	4.000000000000000000e+00
1.354659498207885227e-01	5.000000000000000000e+00
1.455017921146953552e-01	9.000000000000000000e+00
1.555376344086021601e-01	6.000000000000000000e+00
1.655734767025089649e-01	4.000000000000000000e+00
1.756093189964157697e-01	4.000000000000000000e+00
1.856451612903225745e-01	9.000000000000000000e+00
1.956810035842294071e-01	1.200000000000000000e+01
2.057168458781362119e-01	1.100000000000000000e+01
2.157526881720430167e-01	1.000000000000000000e+01
2.257885304659498216e-01	6.000000000000000000e+00
2.358243727598566264e-01	1.300000000000000000e+01
2.458602150537634312e-01	1.000000000000000000e+01
2.558960573476702360e-01	1.100000000000000000e+01
2.659318996415770409e-01	1.000000000000000000e+01
2.759677419354839012e-01	1.700000000000000000e+01
2.860035842293907060e-01	1.700000000000000000e+01
2.960394265232975108e-01	1.800000000000000000e+01
3.060752688172043157e-01	1.700000000000000000e+01
3.161111111111111205e-01	2.200000000000000000e+01
3.261469534050179253e-01	2.900000000000000000e+01
3.361827956989247301e-01	3.300000000000000000e+01
3.462186379928315350e-01	3.300000000000000000e+01
3.562544802867383398e-01	2.600000000000000000e+01
3.662903225806451446e-01	2.500000000000000000e+01
3.763261648745519494e-01	3.500000000000000000e+01
3.863620071684588098e-01	3.200000000000000000e+01
3.963978494623656146e-01	3.400000000000000000e+01
4.064336917562724194e-01	2.700000000000000000e+01
4.164695340501792242e-01	3.900000000000000000e+01
4.265053763440860291e-01	3.400000000000000000e+01
4.365412186379928339e-01	4.200000000000000000e+01
4.465770609318996387e-01	4.600000000000000000e+01
4.566129032258064435e-01	4.700000000000000000e+01
4.666487455197132483e-01	5.700000000000000000e+01
4.766845878136200532e-01	5.200000000000000000e+01
4.867204301075268580e-01	5.200000000000000000e+01
4.967562724014337183e-01	5.500000000000000000e+01
5.067921146953404676e-01	5.800000000000000000e+01
5.168279569892473280e-01	3.800000000000000000e+01
5.268637992831540773e-01	5.300000000000000000e+01
5.368996415770609376e-01	5.700000000000000000e+01
5.469354838709677979e-01	7.000000000000000000e+01
5.569713261648745473e-01	6.600000000000000000e+01
5.670071684587814076e-01	5.500000000000000000e+01
5.770430107526881569e-01	8.300000000000000000e+01
5.870788530465950172e-01	7.600000000000000000e+01
5.971146953405017666e-01	9.700000000000000000e+01
6.071505376344086269e-01	7.000000000000000000e+01
6.171863799283153762e-01	8.100000000000000000e+01
6.272222222222222365e-01	7.200000000000000000e+01
6.372580645161289858e-01	9.300000000000000000e+01
6.472939068100358462e-01	8.700000000000000000e+01
6.573297491039427065e-01	9.300000000000000000e+01
6.673655913978494558e-01	1.130000000000000000e+02
6.774014336917563162e-01	9.500000000000000000e+01
6.874372759856630655e-01	9.700000000000000000e+01
6.974731182795699258e-01	1.240000000000000000e+02
7.075089605734766751e-01	1.100000000000000000e+02
7.175448028673835354e-01	1.200000000000000000e+02
7.275806451612902848e-01	1.420000000000000000e+02
7.376164874551971451e-01	1.080000000000000000e+02
7.476523297491038944e-01	1.520000000000000000e+02
7.576881720430107547e-01	1.360000000000000000e+02
7.677240143369176151e-01	1.120000000000000000e+02
7.777598566308243644e-01	1.240000000000000000e+02
7.877956989247312247e-01	1.370000000000000000e+02
7.978315412186379740e-01	1.530000000000000000e+02
8.078673835125448344e-01	1.560000000000000000e+02
8.179032258064515837e-01	1.330000000000000000e+02
8.279390681003584440e-01	1.480000000000000000e+02
8.379749103942651933e-01	1.490000000000000000e+02
8.480107526881720537e-01	1.420000000000000000e+02
8.580465949820788030e-01	1.600000000000000000e+02
8.680824372759856633e-01	1.430000000000000000e+02
8.781182795698925236e-01	1.850000000000000000e+02
8.881541218637992730e-01	1.760000000000000000e+02
8.981899641577061333e-01	1.680000000000000000e+02
9.082258064516128826e-01	1.580000000000000000e+02
9.182616487455197429e-01	1.910000000000000000e+02
9.282974910394264922e-01	1.630000000000000000e+02
9.383333333333333526e-01	2.050000000000000000e+02
9.483691756272401019e-01	2.270000000000000000e+02
9.584050179211469622e-01	2.230000000000000000e+02
9.684408602150537115e-01	2.180000000000000000e+02
9.784767025089605719e-01	2.010000000000000000e+02
9.885125448028674322e-01	2.150000000000000000e+02
9.985483870967741815e-01	2.230000000000000000e+02
1.008584229390680820e+00	2.210000000000000000e+02
1.018620071684587680e+00	2.320000000000000000e+02
1.028655913978494540e+00	2.520000000000000000e+02
1.038691756272401401e+00	2.740000000000000000e+02
1.048727598566308039e+00	2.320000000000000000e+02
1.058763440860214899e+00	2.340000000000000000e+02
1.068799283154121760e+00	2.340000000000000000e+02
1.078835125448028620e+00	2.480000000000000000e+02
1.088870967741935480e+00	2.480000000000000000e+02
1.098906810035842119e+00	2.650000000000000000e+02
1.108942652329748979e+00	2.630000000000000000e+02
1.118978494623655839e+00	2.610000000000000000e+02
1.129014336917562700e+00	2.930000000000000000e+02
1.139050179211469338e+00	2.680000000000000000e+02
1.149086021505376198e+00	3.350000000000000000e+02
1.159121863799283059e+00	3.210000000000000000e+02
1.169157706093189919e+00	3.130000000000000000e+02
1.179193548387096557e+00	2.810000000000000000e+02
1.189229390681003418e+00	3.140000000000000000e+02
1.199265232974910278e+00	3.350000000000000000e+02
1.209301075268817138e+00	3.100000000000000000e+02
1.219336917562723999e+00	3.110000000000000000e+02
1.229372759856630637e+00	3.340000000000000000e+02
